conversation_id_hash,message_timestamp,repository,artifact_kind,artifact_number,artifact_id,join_method,confidence,authorization_present,notes,caveat_ref
,,KSE2026,issue_creation,73,,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,pr_creation,72,,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_creation,71,,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_creation,70,,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
72cc84ae53fb88b8,2026-07-24T18:24:23+00:00,KSE2026,issue_creation,61,,time-and-context,medium,yes-rejected,spot-check:negated instruction (lexicon cannot detect negation),"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
72cc84ae53fb88b8,,KSE2026,issue_creation,60,,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,pr_creation,59,,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_creation,58,,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
5e0ca0c8e07a37c7,,KSE2026,issue_creation,42,,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
5e0ca0c8e07a37c7,2026-07-22T10:33:15+00:00,KSE2026,issue_creation,23,,time-and-context,medium,yes,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
5e0ca0c8e07a37c7,,KSE2026,issue_comment,37,5048894718,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
5e0ca0c8e07a37c7,,KSE2026,issue_comment,29,5048897868,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
5e0ca0c8e07a37c7,,KSE2026,issue_comment,35,5048915117,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,59,5065753541,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
72cc84ae53fb88b8,,KSE2026,issue_comment,59,5072788587,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
72cc84ae53fb88b8,,KSE2026,issue_comment,60,5076526432,reconstructed,low,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,68,5077466039,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,69,5077480942,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,72,5077631743,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,35,5077782995,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,42,5077784560,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,58,5077785163,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,60,5077785835,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,70,5077786518,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,71,5077787011,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,60,5077808506,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,74,5078162318,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,75,5078163071,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,76,5078163971,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,74,5078192020,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
,,KSE2026,issue_comment,75,5078192552,unmatched,,n/a,,"Q1 negative (no tool-role messages / connector payload in the export; see extractor inventory.json): every tier below exact-id/exact-body is circumstantial text-based evidence, not a direct attestation of a Connector write. pr_review rows are not filterable by connector routing (Reviews API omits performed_via_github_app) and are excluded from the connector-routed universe count. See analysis/connector-linkage-methodology.md."
