repo,item_type,login,performed_via_github_app,is_bot_account,count_exact,caveat_ref
uda-lab/leray-hopf,issue_or_pr,t-uda,,False,31,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/leray-hopf,issue_or_pr,t-uda,chatgpt-codex-connector,False,32,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/leray-hopf,issue_or_pr,uda-lab-agent,,False,132,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/leray-hopf,comment,chatgpt-codex-connector[bot],chatgpt-codex-connector,True,69,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/leray-hopf,comment,t-uda,,False,146,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/leray-hopf,comment,t-uda,chatgpt-codex-connector,False,37,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/leray-hopf,comment,uda-lab-agent,,False,190,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,issue_or_pr,t-uda,,False,1,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,issue_or_pr,t-uda,chatgpt-codex-connector,False,6,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,issue_or_pr,uda-lab-agent,,False,58,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,comment,chatgpt-codex-connector[bot],chatgpt-codex-connector,True,7,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,comment,t-uda,,False,38,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,comment,t-uda,chatgpt-codex-connector,False,5,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
uda-lab/KSE2026,comment,uda-lab-agent,,False,22,"count_exact is an exact tally, not itself a bound; 'direct' is ambiguous between two readings this data answers differently (no-App-intermediary vs. human-composed-the-text) — see authorship_signal_caveat in mediation-census.json / analysis/mediation-census-methodology.md before quoting a bound"
